start,end,day_count
2021-05-12T00:00:00.000Z,2021-05-13T00:00:00.000Z,2398
2021-05-13T00:00:00.000Z,2021-05-14T00:00:00.000Z,2209
2021-05-14T00:00:00.000Z,2021-05-15T00:00:00.000Z,4069
2021-05-15T00:00:00.000Z,2021-05-16T00:00:00.000Z,10203
2021-05-16T00:00:00.000Z,2021-05-17T00:00:00.000Z,4413
2021-05-17T00:00:00.000Z,2021-05-18T00:00:00.000Z,5068
2021-05-18T00:00:00.000Z,2021-05-19T00:00:00.000Z,6110
2021-05-19T00:00:00.000Z,2021-05-20T00:00:00.000Z,3147
2021-05-20T00:00:00.000Z,2021-05-21T00:00:00.000Z,5264
2021-05-21T00:00:00.000Z,2021-05-22T00:00:00.000Z,3296
2021-05-22T00:00:00.000Z,2021-05-23T00:00:00.000Z,1426
2021-05-23T00:00:00.000Z,2021-05-24T00:00:00.000Z,5119
2021-05-24T00:00:00.000Z,2021-05-25T00:00:00.000Z,2384
2021-05-25T00:00:00.000Z,2021-05-26T00:00:00.000Z,2638
2021-05-26T00:00:00.000Z,2021-05-27T00:00:00.000Z,1642
2021-05-27T00:00:00.000Z,2021-05-28T00:00:00.000Z,1956
2021-05-28T00:00:00.000Z,2021-05-29T00:00:00.000Z,3144
2021-05-29T00:00:00.000Z,2021-05-30T00:00:00.000Z,3247
2021-05-30T00:00:00.000Z,2021-05-31T00:00:00.000Z,2672
2021-05-31T00:00:00.000Z,2021-06-01T00:00:00.000Z,1252
2021-06-01T00:00:00.000Z,2021-06-02T00:00:00.000Z,1288
2021-06-02T00:00:00.000Z,2021-06-03T00:00:00.000Z,1273
2021-06-03T00:00:00.000Z,2021-06-04T00:00:00.000Z,2706
2021-06-04T00:00:00.000Z,2021-06-05T00:00:00.000Z,2624
2021-06-05T00:00:00.000Z,2021-06-06T00:00:00.000Z,1996
2021-04-05T00:00:00.000Z,2021-04-06T00:00:00.000Z,2570
2021-04-06T00:00:00.000Z,2021-04-07T00:00:00.000Z,2684
2021-04-07T00:00:00.000Z,2021-04-08T00:00:00.000Z,2790
2021-04-08T00:00:00.000Z,2021-04-09T00:00:00.000Z,2562
2021-04-09T00:00:00.000Z,2021-04-10T00:00:00.000Z,2681
